scenario,timestamp_ms,frame_latency_ms,fps,theta_output,decision,jt_cm,djt_cm
democpt2,1750255503368,263.81564140319824,3.7905258182613464,-10.402172585818542,KANAN RINGAN,21.599999999999998,-1.8000000000000007
democpt2,1750255503647,252.44736671447754,3.9612217509522205,-10.393456441067688,KANAN RINGAN,20.279999999999998,-1.3200000000000003
democpt2,1750255503912,234.86948013305664,4.257683882271493,-10.389321105486932,KANAN RINGAN,19.56,-0.7199999999999989
democpt2,1750255504178,231.99081420898438,4.310515497821261,-10.81377471314142,KANAN RINGAN,19.8,0.240000000000002
democpt2,1750255504447,252.17080116271973,3.9655661773256776,-10.798399826059217,KANAN RINGAN,18.48,-1.3200000000000003
democpt2,1750255504711,248.72064590454102,4.0205749561449755,-10.776666437570208,KANAN RINGAN,18.72,0.23999999999999844
democpt2,1750255504991,247.9538917541504,4.033007882737785,-12.61243912922836,KANAN RINGAN,16.32,-2.3999999999999986
democpt2,1750255505246,238.84320259094238,4.186847225092111,-12.596058109881167,KANAN RINGAN,16.919999999999998,0.5999999999999979
democpt2,1750255505499,238.28816413879395,4.196599539948352,-12.580271313508868,KANAN RINGAN,17.4,0.4800000000000004
democpt2,1750255505753,237.52737045288086,4.210041133757987,-12.580271313508868,KANAN RINGAN,16.08,-1.3200000000000003
democpt2,1750255505990,237.0309829711914,4.218857752117323,-12.5762792118018,KANAN RINGAN,17.16,1.0800000000000018
democpt2,1750255506210,205.0759792327881,4.87624149713248,-10.719729967345199,KANAN RINGAN,17.16,0.0
democpt2,1750255506448,205.75785636901855,4.8600817370809875,-10.721505918597533,KANAN RINGAN,17.28,0.120000000000001
democpt2,1750255506686,205.60812950134277,4.8636209201712,-10.730739338063511,KANAN RINGAN,18.599999999999998,1.3199999999999967
democpt2,1750255506928,210.02793312072754,4.761271442047584,-10.733570168894342,KANAN RINGAN,17.16,-1.4399999999999977
democpt2,1750255507177,221.6968536376953,4.510663925047104,-10.732248840602187,KANAN RINGAN,17.88,0.7199999999999989
democpt2,1750255507399,205.64579963684082,4.862730003559251,-10.751600337341362,KANAN RINGAN,16.2,-1.6799999999999997
democpt2,1750255507637,206.35104179382324,4.846110740740313,-10.747981766658002,KANAN RINGAN,15.6,-0.5999999999999996
democpt2,1750255507875,206.8319320678711,4.83484339193744,-10.745293935970171,KANAN RINGAN,14.399999999999999,-1.200000000000001
democpt2,1750255508113,206.27641677856445,4.8478639275254105,-10.724742307418543,KANAN RINGAN,14.52,0.120000000000001
